chrom	chromStart	chromEnd	name	score	strand	length	GC	
chr5	56822798	56920021	cp068273_56822799	415	.	97223	44.55	
chr5	56920021	57437136	cp068273_56920022	341	.	517115	41.97	
chr5	57437136	57673861	cp068273_57437137	301	.	236725	40.56	
chr5	57673861	57778811	cp068273_57673862	207	.	104950	37.26	
chr5	57778811	58021926	cp068273_57778812	350	.	243115	42.28	
chr5	58021926	58387713	cp068273_58021927	297	.	365787	40.41	
chr5	58387713	59584400	cp068273_58387714	225	.	1196687	37.88	
chr5	59584400	59705007	cp068273_59584401	258	.	120607	39.05	
chr5	59705007	59787420	cp068273_59705008	341	.	82413	41.94	
chr5	59787420	59997735	cp068273_59787421	227	.	210315	37.95	
chr5	59997735	61128767	cp068273_59997736	197	.	1131032	36.92	
chr5	61128767	61813461	cp068273_61128768	255	.	684694	38.94	
chr5	61813461	61978261	cp068273_61813462	162	.	164800	35.68	
chr5	61978261	62156414	cp068273_61978262	319	.	178153	41.17	
chr5	62156414	62377940	cp068273_62156415	225	.	221526	37.88	
chr5	62377940	62498567	cp068273_62377941	427	.	120627	44.98	
chr5	62498567	63165174	cp068273_62498568	304	.	666607	40.67	
chr5	63165174	63450228	cp068273_63165175	231	.	285054	38.11	
chr5	63450228	63532706	cp068273_63450229	381	.	82478	43.36	
chr5	63532706	63664154	cp068273_63532707	290	.	131448	40.16	
chr5	63664154	63946167	cp068273_63664155	227	.	282013	37.96	
chr5	63946167	64772393	cp068273_63946168	172	.	826226	36.03	
chr5	64772393	65113534	cp068273_64772394	228	.	341141	38.00	
chr5	65113534	65288165	cp068273_65113535	155	.	174631	35.43	
chr5	65288165	65535797	cp068273_65288166	272	.	247632	39.53	
chr5	65535797	65843513	cp068273_65535798	162	.	307716	35.70	
chr5	65843513	66011348	cp068273_65843514	312	.	167835	40.92	
chr5	66011348	66185832	cp068273_66011349	132	.	174484	34.63	
chr5	66185832	66489745	cp068273_66185833	200	.	303913	37.01	
chr5	66489745	66812573	cp068273_66489746	293	.	322828	40.26	
chr5	66812573	67017609	cp068273_66812574	180	.	205036	36.32	
chr5	67017609	67233764	cp068273_67017610	334	.	216155	41.70	
chr5	67233764	67834605	cp068273_67233765	268	.	600841	39.40	
chr5	67834605	67960574	cp068273_67834606	207	.	125969	37.25	
chr5	67960574	68145405	cp068273_67960575	342	.	184831	41.97	
chr5	68145405	68410726	cp068273_68145406	192	.	265321	36.74	
chr5	68410726	68818134	cp068273_68410727	239	.	407408	38.39	
chr5	68818134	69884816	cp068273_68818135	294	.	1066682	40.32	
chr5	69884816	70452446	cp068273_69884817	353	.	567630	42.37	
chr5	70452446	70483575	cp068273_70452447	526	.	31129	48.44	
chr5	70483575	70698810	cp068273_70483576	150	.	215235	35.26	
chr5	70698810	70728814	cp068273_70698811	496	.	30004	47.38	
chr5	70728814	70772129	cp068273_70728815	139	.	43315	34.90	
chr5	70772129	70832057	cp068273_70772130	329	.	59928	41.53	
chr5	70832057	70862161	cp068273_70832058	418	.	30104	44.65	
chr5	70862161	71357384	cp068273_70862162	186	.	495223	36.53	
chr5	71357384	71488950	cp068273_71357385	369	.	131566	42.95	
chr5	71488950	71520456	cp068273_71488951	193	.	31506	36.76	
chr5	71520456	71586891	cp068273_71520457	354	.	66435	42.41	
chr5	71586891	71652535	cp068273_71586892	133	.	65644	34.67	
chr5	71652535	71720429	cp068273_71652536	531	.	67894	48.61	
chr5	71720429	71931725	cp068273_71720430	162	.	211296	35.68	
chr5	71931725	71962866	cp068273_71931726	366	.	31141	42.83	
chr5	71962866	72005973	cp068273_71962867	213	.	43107	37.48	
chr5	72005973	73210848	cp068273_72005974	316	.	1204875	41.07	
chr5	73210848	73593526	cp068273_73210849	229	.	382678	38.04	
chr5	73593526	73970391	cp068273_73593527	388	.	376865	43.61	
chr5	73970391	74028837	cp068273_73970392	342	.	58446	41.98	
chr5	74028837	74419770	cp068273_74028838	264	.	390933	39.26	
chr5	74419770	75097146	cp068273_74419771	319	.	677376	41.18	
chr5	75097146	75168418	cp068273_75097147	404	.	71272	44.17	
chr5	75168418	75337695	cp068273_75168419	224	.	169277	37.86	
chr5	75337695	75545002	cp068273_75337696	335	.	207307	41.75	
chr5	75545002	76649155	cp068273_75545003	246	.	1104153	38.64	
chr5	76649155	77909958	cp068273_76649156	340	.	1260803	41.93	
chr5	77909958	78078743	cp068273_77909959	199	.	168785	36.97	
chr5	78078743	78110316	cp068273_78078744	249	.	31573	38.75	
chr5	78110316	78157523	cp068273_78110317	436	.	47207	45.28	
chr5	78157523	78237467	cp068273_78157524	173	.	79944	36.08	
chr5	78237467	78291524	cp068273_78237468	272	.	54057	39.55	
chr5	78291524	78482175	cp068273_78291525	354	.	190651	42.39	
chr5	78482175	78710433	cp068273_78482176	174	.	228258	36.11	
chr5	78710433	78969367	cp068273_78710434	238	.	258934	38.33	
chr5	78969367	79036275	cp068273_78969368	450	.	66908	45.76	
chr5	79036275	79303202	cp068273_79036276	363	.	266927	42.73	
chr5	79303202	79550512	cp068273_79303203	285	.	247310	39.99	
chr5	79550512	79750417	cp068273_79550513	369	.	199905	42.95	
chr5	79750417	79812268	cp068273_79750418	237	.	61851	38.31	
chr5	79812268	79856278	cp068273_79812269	353	.	44010	42.39	
chr5	79856278	79977124	cp068273_79856279	183	.	120846	36.44	
chr5	79977124	80124684	cp068273_79977125	305	.	147560	40.70	
chr5	80124684	80172573	cp068273_80124685	131	.	47889	34.59	
chr5	80172573	80308602	cp068273_80172574	305	.	136029	40.70	
chr5	80308602	80342299	cp068273_80308603	462	.	33697	46.20	
chr5	80342299	80551273	cp068273_80342300	324	.	208974	41.36	
chr5	80551273	80794521	cp068273_80551274	420	.	243248	44.71	
chr5	80794521	80836777	cp068273_80794522	332	.	42256	41.64	
chr5	80836777	81030007	cp068273_80836778	247	.	193230	38.65	
chr5	81030007	81154017	cp068273_81030008	332	.	124010	41.64	
chr5	81154017	81371856	cp068273_81154018	220	.	217839	37.71	
chr5	81371856	81887409	cp068273_81371857	318	.	515553	41.16	
chr5	81887409	82233924	cp068273_81887410	165	.	346515	35.78	
chr5	82233924	82477331	cp068273_82233925	318	.	243407	41.14	
chr5	82477331	82570277	cp068273_82477332	219	.	92946	37.69	
chr5	82570277	82608334	cp068273_82570278	132	.	38057	34.65	
chr5	82608334	83360006	cp068273_82608335	258	.	751672	39.05	
chr5	83360006	83624455	cp068273_83360007	210	.	264449	37.35	
chr5	83624455	83836145	cp068273_83624456	129	.	211690	34.55	
chr5	83836145	84427535	cp068273_83836146	207	.	591390	37.25	
chr5	84427535	85185927	cp068273_84427536	154	.	758392	35.40	
chr5	85185927	87048149	cp068273_85185928	126	.	1862222	34.44	
chr5	87048149	89772589	cp068273_87048150	190	.	2724440	36.66	
chr5	89772589	90511605	cp068273_89772590	155	.	739016	35.45	
chr5	90511605	91538963	cp068273_90511606	203	.	1027358	37.11	
chr5	91538963	91752561	cp068273_91538964	254	.	213598	38.91	
chr5	91752561	91852435	cp068273_91752562	357	.	99874	42.50	
chr5	91852435	92087628	cp068273_91852436	208	.	235193	37.29	
chr5	92087628	93249856	cp068273_92087629	133	.	1162228	34.68	
chr5	93249856	93607805	cp068273_93249857	172	.	357949	36.04	
chr5	93607805	93953368	cp068273_93607806	235	.	345563	38.23	
chr5	93953368	94053141	cp068273_93953369	161	.	99773	35.67	
chr5	94053141	94088632	cp068273_94053142	597	.	35491	50.92	
chr5	94088632	94127861	cp068273_94088633	262	.	39229	39.20	
chr5	94127861	94359577	cp068273_94127862	189	.	231716	36.62	
chr5	94359577	94400574	cp068273_94359578	50	.	40997	31.75	
chr5	94400574	94494913	cp068273_94400575	152	.	94339	35.32	
chr5	94494913	96108221	cp068273_94494914	201	.	1613308	37.07	
chr5	96108221	96300489	cp068273_96108222	265	.	192268	39.28	
chr5	96300489	96386236	cp068273_96300490	431	.	85747	45.09	
chr5	96386236	98081667	cp068273_96386237	240	.	1695431	38.42	
chr5	98081667	98888678	cp068273_98081668	177	.	807011	36.20	
chr5	98888678	99697206	cp068273_98888679	219	.	808528	37.68	
chr5	99697206	99742661	cp068273_99697207	334	.	45455	41.72	
chr5	99742661	99998179	cp068273_99742662	160	.	255518	35.63	
chr5	99998179	100033842	cp068273_99998180	382	.	35663	43.39	
chr5	100033842	102584597	cp068273_100033843	147	.	2550755	35.17	
chr5	102584597	104532482	cp068273_102584598	189	.	1947885	36.64	
chr5	104532482	104606421	cp068273_104532483	280	.	73939	39.83	
chr5	104606421	107377303	cp068273_104606422	124	.	2770882	34.35	
chr5	107377303	107741039	cp068273_107377304	162	.	363736	35.68	
chr5	107741039	108387229	cp068273_107741040	250	.	646190	38.76	
chr5	108387229	108796586	cp068273_108387230	172	.	409357	36.03	
chr5	108796586	108826973	cp068273_108796587	6	.	30387	30.21	
chr5	108826973	108876146	cp068273_108826974	110	.	49173	33.86	
chr5	108876146	109313914	cp068273_108876147	274	.	437768	39.60	
chr5	109313914	109668830	cp068273_109313915	141	.	354916	34.95	
chr5	109668830	109716846	cp068273_109668831	212	.	48016	37.42	
chr5	109716846	109853154	cp068273_109716847	360	.	136308	42.62	
chr5	109853154	109896832	cp068273_109853155	127	.	43678	34.45	
chr5	109896832	110879693	cp068273_109896833	231	.	982861	38.10	
chr5	110879693	111196622	cp068273_110879694	147	.	316929	35.17	
chr5	111196622	112057193	cp068273_111196623	206	.	860571	37.23	
chr5	112057193	112210679	cp068273_112057194	289	.	153486	40.15	
chr5	112210679	112835613	cp068273_112210680	232	.	624934	38.14	
chr5	112835613	113237289	cp068273_112835614	309	.	401676	40.85	
chr5	113237289	113314478	cp068273_113237290	169	.	77189	35.94	
chr5	113314478	113368985	cp068273_113314479	253	.	54507	38.87	
chr5	113368985	113488837	cp068273_113368986	348	.	119852	42.18	
chr5	113488837	113535885	cp068273_113488838	204	.	47048	37.17	
chr5	113535885	113586813	cp068273_113535886	485	.	50928	47.01	
chr5	113586813	113731120	cp068273_113586814	352	.	144307	42.32	
chr5	113731120	114027426	cp068273_113731121	294	.	296306	40.30	
chr5	114027426	114112165	cp068273_114027427	122	.	84739	34.29	
chr5	114112165	114305008	cp068273_114112166	299	.	192843	40.49	
chr5	114305008	115164121	cp068273_114305009	214	.	859113	37.49	
chr5	115164121	116640300	cp068273_115164122	251	.	1476179	38.80	
chr5	116640300	116807529	cp068273_116640301	148	.	167229	35.21	
chr5	116807529	116869411	cp068273_116807530	230	.	61882	38.08	
chr5	116869411	116961079	cp068273_116869412	389	.	91668	43.62	
chr5	116961079	117435707	cp068273_116961080	292	.	474628	40.23	
chr5	117435707	117763077	cp068273_117435708	204	.	327370	37.15	
chr5	117763077	118718858	cp068273_117763078	151	.	955781	35.31	
chr5	118718858	118984158	cp068273_118718859	192	.	265300	36.73	
chr5	118984158	120339518	cp068273_118984159	244	.	1355360	38.55	
chr5	120339518	122593056	cp068273_120339519	157	.	2253538	35.53	
chr5	122593056	123311838	cp068273_122593057	253	.	718782	38.89	
chr5	123311838	123354302	cp068273_123311839	136	.	42464	34.77	
chr5	123354302	123837571	cp068273_123354303	291	.	483269	40.21	
chr5	123837571	124718697	cp068273_123837572	193	.	881126	36.77	
chr5	124718697	125584582	cp068273_124718698	284	.	865885	39.96	
chr5	125584582	126005400	cp068273_125584583	214	.	420818	37.49	
chr5	126005400	126535703	cp068273_126005401	171	.	530303	36.01	
chr5	126535703	126951681	cp068273_126535704	230	.	415978	38.07	
chr5	126951681	127090139	cp068273_126951682	329	.	138458	41.54	
chr5	127090139	127447857	cp068273_127090140	389	.	357718	43.63	
chr5	127447857	127680873	cp068273_127447858	296	.	233016	40.39	
chr5	127680873	128611333	cp068273_127680874	243	.	930460	38.54	
chr5	128611333	128710761	cp068273_128611334	130	.	99428	34.58	
chr5	128710761	128782579	cp068273_128710762	307	.	71818	40.75	
chr5	128782579	129707803	cp068273_128782580	204	.	925224	37.15	
chr5	129707803	131336077	cp068273_129707804	172	.	1628274	36.03	
chr5	131336077	131606148	cp068273_131336078	244	.	270071	38.55	
chr5	131606148	131954136	cp068273_131606149	284	.	347988	39.94	
chr5	131954136	132090709	cp068273_131954137	177	.	136573	36.23	
chr5	132090709	132158023	cp068273_132090710	326	.	67314	41.42	
chr5	132158023	132478932	cp068273_132158024	240	.	320909	38.41	
chr5	132478932	132534087	cp068273_132478933	585	.	55155	50.51	
chr5	132534087	132569533	cp068273_132534088	345	.	35446	42.08	
chr5	132569533	132625725	cp068273_132569534	628	.	56192	52.01	
chr5	132625725	132712607	cp068273_132625726	250	.	86882	38.76	
chr5	132712607	132770512	cp068273_132712608	497	.	57905	47.41	
chr5	132770512	132800599	cp068273_132770513	712	.	30087	54.95	
chr5	132800599	132982490	cp068273_132800600	438	.	181891	45.33	
chr5	132982490	133024235	cp068273_132982491	640	.	41745	52.43	
chr5	133024235	133078708	cp068273_133024236	313	.	54473	40.97	
chr5	133078708	133157343	cp068273_133078709	226	.	78635	37.93	
chr5	133157343	133211659	cp068273_133157344	497	.	54316	47.40	
chr5	133211659	133266677	cp068273_133211660	206	.	55018	37.24	
chr5	133266677	133366817	cp068273_133266678	548	.	100140	49.19	
chr5	133366817	133458038	cp068273_133366818	290	.	91221	40.16	
chr5	133458038	133584245	cp068273_133458039	416	.	126207	44.56	
chr5	133584245	133626215	cp068273_133584246	285	.	41970	39.98	
chr5	133626215	133674714	cp068273_133626216	503	.	48499	47.62	
chr5	133674714	133709693	cp068273_133674715	249	.	34979	38.73	
chr5	133709693	133749525	cp068273_133709694	447	.	39832	45.67	
chr5	133749525	133863193	cp068273_133749526	604	.	113668	51.17	
chr5	133863193	134009656	cp068273_133863194	465	.	146463	46.28	
chr5	134009656	134202085	cp068273_134009657	354	.	192429	42.40	
chr5	134202085	134236561	cp068273_134202086	546	.	34476	49.12	
chr5	134236561	134301558	cp068273_134236562	396	.	64997	43.87	
chr5	134301558	134621862	cp068273_134301559	510	.	320304	47.87	
chr5	134621862	134671597	cp068273_134621863	727	.	49735	55.46	
chr5	134671597	134927459	cp068273_134671598	333	.	255862	41.66	
chr5	134927459	135049684	cp068273_134927460	494	.	122225	47.31	
chr5	135049684	135126242	cp068273_135049685	646	.	76558	52.63	
chr5	135126242	135397144	cp068273_135126243	357	.	270902	42.50	
chr5	135397144	135458164	cp068273_135397145	466	.	61020	46.31	
chr5	135458164	135530142	cp068273_135458165	285	.	71978	40.00	
chr5	135530142	135600358	cp068273_135530143	687	.	70216	54.07	
chr5	135600358	136132055	cp068273_135600359	474	.	531697	46.62	
chr5	136132055	136841940	cp068273_136132056	382	.	709885	43.37	
chr5	136841940	137510998	cp068273_136841941	267	.	669058	39.37	
chr5	137510998	138286965	cp068273_137510999	369	.	775967	42.94	
chr5	138286965	138556629	cp068273_138286966	249	.	269664	38.75	
chr5	138556629	138963970	cp068273_138556630	407	.	407341	44.26	
chr5	138963970	138994259	cp068273_138963971	756	.	30289	56.48	
chr5	138994259	139304416	cp068273_138994260	468	.	310157	46.39	
chr5	139304416	139450696	cp068273_139304417	294	.	146280	40.30	
chr5	139450696	139482864	cp068273_139450697	636	.	32168	52.28	
chr5	139482864	139518701	cp068273_139482865	458	.	35837	46.03	
chr5	139518701	139628861	cp068273_139518702	336	.	110160	41.77	
chr5	139628861	139820962	cp068273_139628862	451	.	192101	45.79	
chr5	139820962	139857963	cp068273_139820963	229	.	37001	38.02	
chr5	139857963	139899280	cp068273_139857964	397	.	41317	43.90	
chr5	139899280	139930196	cp068273_139899281	739	.	30916	55.90	
chr5	139930196	139963753	cp068273_139930197	395	.	33557	43.85	
chr5	139963753	140013854	cp068273_139963754	586	.	50101	50.53	
chr5	140013854	140087449	cp068273_140013855	488	.	73595	47.09	
chr5	140087449	140157616	cp068273_140087450	372	.	70167	43.02	
chr5	140157616	140237827	cp068273_140157617	769	.	80211	56.93	
chr5	140237827	140440730	cp068273_140237828	636	.	202903	52.26	
chr5	140440730	140474871	cp068273_140440731	273	.	34141	39.59	
chr5	140474871	140508675	cp068273_140474872	520	.	33804	48.23	
chr5	140508675	140575686	cp068273_140508676	361	.	67011	42.64	
chr5	140575686	140655058	cp068273_140575687	263	.	79372	39.21	
chr5	140655058	140685062	cp068273_140655059	567	.	30004	49.86	
chr5	140685062	140784282	cp068273_140685063	427	.	99220	44.96	
chr5	140784282	140839022	cp068273_140784283	276	.	54740	39.69	
chr5	140839022	140901578	cp068273_140839023	533	.	62556	48.66	
chr5	140901578	140954788	cp068273_140901579	389	.	53210	43.62	
chr5	140954788	141029012	cp068273_140954789	169	.	74224	35.94	
chr5	141029012	141067569	cp068273_141029013	271	.	38557	39.49	
chr5	141067569	141099521	cp068273_141067570	588	.	31952	50.59	
chr5	141099521	141155056	cp068273_141099522	343	.	55535	42.02	
chr5	141155056	141204452	cp068273_141155057	534	.	49396	48.71	
chr5	141204452	141236924	cp068273_141204453	409	.	32472	44.33	
chr5	141236924	141698085	cp068273_141236925	266	.	461161	39.33	
chr5	141698085	142001492	cp068273_141698086	362	.	303407	42.70	
chr5	142001492	142067025	cp068273_142001493	527	.	65533	48.47	
chr5	142067025	142144159	cp068273_142067026	279	.	77134	39.77	
chr5	142144159	142367520	cp068273_142144160	574	.	223361	50.10	
chr5	142367520	142410480	cp068273_142367521	720	.	42960	55.21	
chr5	142410480	142640698	cp068273_142410481	436	.	230218	45.29	
chr5	142640698	142699359	cp068273_142640699	262	.	58661	39.19	
chr5	142699359	143020619	cp068273_142699360	465	.	321260	46.30	
chr5	143020619	143435984	cp068273_143020620	391	.	415365	43.72	
chr5	143435984	143737863	cp068273_143435985	320	.	301879	41.21	
chr5	143737863	143786237	cp068273_143737864	438	.	48374	45.35	
chr5	143786237	143930995	cp068273_143786238	195	.	144758	36.83	
chr5	143930995	144608680	cp068273_143930996	266	.	677685	39.33	
chr5	144608680	145191564	cp068273_144608681	221	.	582884	37.74	
chr5	145191564	145925608	cp068273_145191565	182	.	734044	36.40	
chr5	145925608	146246562	cp068273_145925609	250	.	320954	38.76	
chr5	146246562	146277301	cp068273_146246563	130	.	30739	34.58	
chr5	146277301	147194468	cp068273_146277302	306	.	917167	40.73	
chr5	147194468	148234782	cp068273_147194469	263	.	1040314	39.23	
chr5	148234782	148502848	cp068273_148234783	239	.	268066	38.39	
chr5	148502848	148977560	cp068273_148502849	181	.	474712	36.37	
chr5	148977560	149311250	cp068273_148977561	245	.	333690	38.61	
chr5	149311250	149730262	cp068273_149311251	340	.	419012	41.92	
chr5	149730262	149856832	cp068273_149730263	487	.	126570	47.06	
chr5	149856832	149892557	cp068273_149856833	375	.	35725	43.13	
