chrom	chromStart	chromEnd	name	score	strand	length	GC
chr7	4898432	4960562	cp068271_4898433	812	.	62130	58.44
chr7	4960562	4990581	cp068271_4960563	424	.	30019	44.86
chr7	4990581	5092994	cp068271_4990582	594	.	102413	50.80
chr7	5092994	5187668	cp068271_5092995	397	.	94674	43.92
chr7	5187668	5340637	cp068271_5187669	519	.	152969	48.18
chr7	5340637	5752746	cp068271_5340638	707	.	412109	54.75
chr7	5752746	6527295	cp068271_5752747	459	.	774549	46.09
chr7	6527295	6572217	cp068271_6527296	574	.	44922	50.11
chr7	6572217	6616075	cp068271_6572218	468	.	43858	46.38
chr7	6616075	6791856	cp068271_6616076	674	.	175781	53.60
chr7	6791856	6825029	cp068271_6791857	356	.	33173	42.47
chr7	6825029	7099401	cp068271_6825030	511	.	274372	47.90
chr7	7099401	7192695	cp068271_7099402	342	.	93294	41.99
chr7	7192695	7598389	cp068271_7192696	250	.	405694	38.78
chr7	7598389	8208544	cp068271_7598390	207	.	610155	37.27
chr7	8208544	8252235	cp068271_8208545	408	.	43691	44.29
chr7	8252235	8654122	cp068271_8252236	265	.	401887	39.29
chr7	8654122	8881899	cp068271_8654123	188	.	227777	36.59
chr7	8881899	10377495	cp068271_8881900	137	.	1495596	34.81
chr7	10377495	11012653	cp068271_10377496	195	.	635158	36.85
chr7	11012653	11139644	cp068271_11012654	260	.	126991	39.11
chr7	11139644	11311995	cp068271_11139645	113	.	172351	33.98
chr7	11311995	11366881	cp068271_11311996	296	.	54886	40.36
chr7	11366881	11556210	cp068271_11366882	201	.	189329	37.05
chr7	11556210	12623639	cp068271_11556211	155	.	1067429	35.44
chr7	12623639	12997076	cp068271_12623640	239	.	373437	38.40
chr7	12997076	13229618	cp068271_12997077	175	.	232542	36.14
chr7	13229618	13259730	cp068271_13229619	290	.	30112	40.16
chr7	13259730	13800224	cp068271_13259731	135	.	540494	34.74
chr7	13800224	14213105	cp068271_13800225	193	.	412881	36.78
chr7	14213105	15917144	cp068271_14213106	147	.	1704039	35.17
chr7	15917144	16433961	cp068271_15917145	174	.	516817	36.10
chr7	16433961	16984532	cp068271_16433962	246	.	550571	38.62
chr7	16984532	17430000	cp068271_16984533	194	.	445468	36.82
chr7	17430000	17476582	cp068271_17430001	103	.	46582	33.63
chr7	17476582	17906342	cp068271_17476583	239	.	429760	38.38
chr7	17906342	18027931	cp068271_17906343	122	.	121589	34.28
chr7	18027931	18319785	cp068271_18027932	230	.	291854	38.06
chr7	18319785	20202004	cp068271_18319786	173	.	1882219	36.07
chr7	20202004	20793448	cp068271_20202005	203	.	591444	37.14
chr7	20793448	22001753	cp068271_20793449	252	.	1208305	38.83
chr7	22001753	22872587	cp068271_22001754	318	.	870834	41.15
chr7	22872587	22917444	cp068271_22872588	209	.	44857	37.35
chr7	22917444	23056096	cp068271_22917445	377	.	138652	43.20
chr7	23056096	23147458	cp068271_23056097	158	.	91362	35.53
chr7	23147458	23184899	cp068271_23147459	383	.	37441	43.41
chr7	23184899	23342448	cp068271_23184900	272	.	157549	39.53
chr7	23342448	23827617	cp068271_23342449	349	.	485169	42.24
chr7	23827617	23961856	cp068271_23827618	207	.	134239	37.26
chr7	23961856	24658138	cp068271_23961857	294	.	696282	40.32
chr7	24658138	24833877	cp068271_24658139	179	.	175739	36.29
chr7	24833877	24872268	cp068271_24833878	507	.	38391	47.77
chr7	24872268	26078167	cp068271_24872269	312	.	1205899	40.94
chr7	26078167	26787846	cp068271_26078168	371	.	709679	43.01
chr7	26787846	26999553	cp068271_26787847	168	.	211707	35.91
chr7	26999553	27108929	cp068271_26999554	233	.	109376	38.17
chr7	27108929	27222742	cp068271_27108930	309	.	113813	40.85
chr7	27222742	27389486	cp068271_27222743	604	.	166744	51.16
chr7	27389486	27529706	cp068271_27389487	315	.	140220	41.05
chr7	27529706	27661297	cp068271_27529707	375	.	131591	43.13
chr7	27661297	27795810	cp068271_27661298	187	.	134513	36.58
chr7	27795810	27880492	cp068271_27795811	318	.	84682	41.13
chr7	27880492	27970416	cp068271_27880493	144	.	89924	35.07
chr7	27970416	28015987	cp068271_27970417	431	.	45571	45.10
chr7	28015987	30779631	cp068271_28015988	317	.	2763644	41.11
chr7	30779631	31245232	cp068271_30779632	573	.	465601	50.07
chr7	31245232	31275238	cp068271_31245233	406	.	30006	44.21
chr7	31275238	32339267	cp068271_31275239	264	.	1064029	39.27
chr7	32339267	33254519	cp068271_32339268	330	.	915252	41.56
chr7	33254519	33360416	cp068271_33254520	261	.	105897	39.14
chr7	33360416	33503042	cp068271_33360417	154	.	142626	35.41
chr7	33503042	33765978	cp068271_33503043	216	.	262936	37.57
chr7	33765978	34079769	cp068271_33765979	346	.	313791	42.14
chr7	34079769	34139018	cp068271_34079770	300	.	59249	40.53
chr7	34139018	34173713	cp068271_34139019	190	.	34695	36.67
chr7	34173713	34390052	cp068271_34173714	321	.	216339	41.24
chr7	34390052	35471411	cp068271_34390053	247	.	1081359	38.68
chr7	35471411	35771935	cp068271_35471412	362	.	300524	42.70
chr7	35771935	35824892	cp068271_35771936	188	.	52957	36.60
chr7	35824892	35954809	cp068271_35824893	302	.	129917	40.60
chr7	35954809	36048532	cp068271_35954810	150	.	93723	35.26
chr7	36048532	36419325	cp068271_36048533	409	.	370793	44.33
chr7	36419325	36465144	cp068271_36419326	538	.	45819	48.85
chr7	36465144	36595131	cp068271_36465145	246	.	129987	38.61
chr7	36595131	36782406	cp068271_36595132	369	.	187275	42.95
chr7	36782406	36815600	cp068271_36782407	310	.	33194	40.88
chr7	36815600	36860005	cp068271_36815601	203	.	44405	37.12
chr7	36860005	37702639	cp068271_36860006	327	.	842634	41.46
chr7	37702639	38437668	cp068271_37702640	226	.	735029	37.91
chr7	38437668	38539393	cp068271_38437669	354	.	101725	42.41
chr7	38539393	39101885	cp068271_38539394	261	.	562492	39.16
chr7	39101885	39172066	cp068271_39101886	212	.	70181	37.42
chr7	39172066	39226508	cp068271_39172067	119	.	54442	34.20
chr7	39226508	39330344	cp068271_39226509	242	.	103836	38.48
chr7	39330344	39866577	cp068271_39330345	306	.	536233	40.73
chr7	39866577	39935898	cp068271_39866578	399	.	69321	43.97
chr7	39935898	39970262	cp068271_39935899	534	.	34364	48.72
chr7	39970262	40036791	cp068271_39970263	218	.	66529	37.66
chr7	40036791	40109585	cp068271_40036792	403	.	72794	44.11
chr7	40109585	40265042	cp068271_40109586	232	.	155457	38.14
chr7	40265042	40416137	cp068271_40265043	336	.	151095	41.79
chr7	40416137	40628580	cp068271_40416138	223	.	212443	37.82
chr7	40628580	40707216	cp068271_40628581	153	.	78636	35.39
chr7	40707216	40972686	cp068271_40707217	250	.	265470	38.75
chr7	40972686	43320475	cp068271_40972687	282	.	2347789	39.90
chr7	43320475	43721909	cp068271_43320476	349	.	401434	42.24
chr7	43721909	43903927	cp068271_43721910	286	.	182018	40.02
chr7	43903927	44007389	cp068271_43903928	409	.	103462	44.33
chr7	44007389	44119611	cp068271_44007390	454	.	112222	45.89
chr7	44119611	44319350	cp068271_44119612	675	.	199739	53.63
chr7	44319350	44371261	cp068271_44319351	470	.	51911	46.48
chr7	44371261	44403118	cp068271_44371262	891	.	31857	61.19
chr7	44403118	44454374	cp068271_44403119	772	.	51256	57.03
chr7	44454374	44567310	cp068271_44454375	476	.	112936	46.69
chr7	44567310	44671549	cp068271_44567311	344	.	104239	42.07
chr7	44671549	44986664	cp068271_44671550	519	.	315115	48.18
chr7	44986664	45114680	cp068271_44986665	406	.	128016	44.24
chr7	45114680	45144684	cp068271_45114681	749	.	30004	56.23
chr7	45144684	45224956	cp068271_45144685	441	.	80272	45.47
chr7	45224956	45254994	cp068271_45224957	735	.	30038	55.74
chr7	45254994	45393504	cp068271_45254995	563	.	138510	49.73
chr7	45393504	45718486	cp068271_45393505	316	.	324982	41.07
chr7	45718486	45763170	cp068271_45718487	631	.	44684	52.11
chr7	45763170	45889059	cp068271_45763171	462	.	125889	46.20
chr7	45889059	45928489	cp068271_45889060	165	.	39430	35.79
chr7	45928489	45968546	cp068271_45928490	435	.	40057	45.25
chr7	45968546	46057290	cp068271_45968547	541	.	88744	48.94
chr7	46057290	46124107	cp068271_46057291	284	.	66817	39.97
chr7	46124107	46154119	cp068271_46124108	521	.	30012	48.25
chr7	46154119	47334032	cp068271_46154120	255	.	1179913	38.93
chr7	47334032	47505426	cp068271_47334033	420	.	171394	44.73
chr7	47505426	47843265	cp068271_47505427	543	.	337839	49.03
chr7	47843265	47911376	cp068271_47843266	437	.	68111	45.32
chr7	47911376	48144180	cp068271_47911377	400	.	232804	44.01
chr7	48144180	48343366	cp068271_48144181	322	.	199186	41.29
chr7	48343366	48685707	cp068271_48343367	271	.	342341	39.49
chr7	48685707	48763963	cp068271_48685708	154	.	78256	35.39
chr7	48763963	49201414	cp068271_48763964	232	.	437451	38.12
chr7	49201414	49786336	cp068271_49201415	175	.	584922	36.13
chr7	49786336	50095386	cp068271_49786337	280	.	309050	39.81
chr7	50095386	50306115	cp068271_50095387	152	.	210729	35.34
chr7	50306115	50382630	cp068271_50306116	429	.	76515	45.04
chr7	50382630	50422482	cp068271_50382631	107	.	39852	33.76
chr7	50422482	50457989	cp068271_50422483	304	.	35507	40.66
chr7	50457989	51034553	cp068271_50457990	419	.	576564	44.67
chr7	51034553	51097839	cp068271_51034554	241	.	63286	38.47
chr7	51097839	51538863	cp068271_51097840	387	.	441024	43.57
chr7	51538863	51572282	cp068271_51538864	587	.	33419	50.55
chr7	51572282	51767880	cp068271_51572283	313	.	195598	40.98
chr7	51767880	51824633	cp068271_51767881	418	.	56753	44.64
chr7	51824633	52181052	cp068271_51824634	250	.	356419	38.77
chr7	52181052	52231717	cp068271_52181053	111	.	50665	33.89
chr7	52231717	52341075	cp068271_52231718	230	.	109358	38.07
chr7	52341075	52390846	cp068271_52341076	156	.	49771	35.47
chr7	52390846	52593541	cp068271_52390847	278	.	202695	39.74
chr7	52593541	54604388	cp068271_52593542	184	.	2010847	36.44
chr7	54604388	54809651	cp068271_54604389	229	.	205263	38.04
chr7	54809651	55000284	cp068271_54809652	336	.	190633	41.76
chr7	55000284	55174315	cp068271_55000285	237	.	174031	38.30
chr7	55174315	56520838	cp068271_55174316	413	.	1346523	44.47
chr7	56520838	56601706	cp068271_56520839	1000	.	80868	68.05
chr7	56601706	56631712	cp068271_56601707	615	.	30006	51.55
chr7	56631712	57013517	cp068271_56631713	301	.	381805	40.54
chr7	57013517	57070032	cp068271_57013518	863	.	56515	60.23
chr7	57070032	57107100	cp068271_57070033	372	.	37068	43.05
chr7	57107100	57139167	cp068271_57107101	575	.	32067	50.13
chr7	57139167	57176921	cp068271_57139168	446	.	37754	45.62
chr7	57176921	57270953	cp068271_57176922	678	.	94032	53.75
chr7	57270953	57305088	cp068271_57270954	380	.	34135	43.32
chr7	57305088	57418175	cp068271_57305089	241	.	113087	38.45
chr7	57418175	57687150	cp068271_57418176	494	.	268975	47.31
chr7	57687150	57741667	cp068271_57687151	261	.	54517	39.15
chr7	57741667	57821394	cp068271_57741668	118	.	79727	34.16
chr7	57821394	57857598	cp068271_57821395	298	.	36204	40.45
chr7	57857598	57912483	cp068271_57857599	500	.	54885	47.53
chr7	57912483	58005068	cp068271_57912484	162	.	92585	35.68
chr7	58005068	58096368	cp068271_58005069	446	.	91300	45.62
chr7	58096368	58329725	cp068271_58096369	176	.	233357	36.17
chr7	58329725	58585248	cp068271_58329726	294	.	255523	40.31
chr7	58585248	58619943	cp068271_58585249	99	.	34695	33.49
chr7	58619943	59146450	cp068271_58619944	239	.	526507	38.37
chr7	59146450	59259842	cp068271_59146451	128	.	113392	34.49
chr7	59259842	59289870	cp068271_59259843	269	.	30028	39.43
chr7	59289870	60503419	cp068271_59289871	193	.	1213549	36.76
chr7	60503419	60539973	cp068271_60503420	253	.	36554	38.87
chr7	60539973	60606866	cp068271_60539974	258	.	66893	39.05
chr7	60606866	60838962	cp068271_60606867	252	.	232096	38.84
chr7	60838962	61404032	cp068271_60838963	254	.	565070	38.92
chr7	61404032	62050088	cp068271_61404033	259	.	646056	39.09
chr7	62050088	62751571	cp068271_62050089	262	.	701483	39.17
chr7	62751571	63284340	cp068271_62751572	260	.	532769	39.12
chr7	63284340	63545130	cp068271_63284341	259	.	260790	39.07
chr7	63545130	63712674	cp068271_63545131	243	.	167544	38.54
chr7	63712674	64205311	cp068271_63712675	202	.	492637	37.10
chr7	64205311	64278348	cp068271_64205312	493	.	73037	47.26
chr7	64278348	64313724	cp068271_64278349	397	.	35376	43.92
chr7	64313724	64709629	cp068271_64313725	277	.	395905	39.70
chr7	64709629	64743703	cp068271_64709630	381	.	34074	43.34
chr7	64743703	64837731	cp068271_64743704	678	.	94028	53.76
chr7	64837731	64875475	cp068271_64837732	446	.	37744	45.63
chr7	64875475	64907504	cp068271_64875476	574	.	32029	50.10
chr7	64907504	64944659	cp068271_64907505	370	.	37155	42.98
chr7	64944659	64998624	cp068271_64944660	848	.	53965	59.70
chr7	64998624	65623731	cp068271_64998625	316	.	625107	41.07
chr7	65623731	65761092	cp068271_65623732	195	.	137361	36.85
chr7	65761092	66532828	cp068271_65761093	344	.	771736	42.07
chr7	66532828	66938271	cp068271_66532829	269	.	405443	39.43
chr7	66938271	67096934	cp068271_66938272	437	.	158663	45.31
chr7	67096934	67181725	cp068271_67096935	307	.	84791	40.76
chr7	67181725	67212004	cp068271_67181726	599	.	30279	50.98
chr7	67212004	67265758	cp068271_67212005	370	.	53754	42.97
chr7	67265758	67296504	cp068271_67265759	479	.	30746	46.78
chr7	67296504	67337652	cp068271_67296505	635	.	41148	52.23
chr7	67337652	67391209	cp068271_67337653	417	.	53557	44.63
chr7	67391209	67434051	cp068271_67391210	523	.	42842	48.34
chr7	67434051	67574211	cp068271_67434052	278	.	140160	39.75
chr7	67574211	67639080	cp068271_67574212	463	.	64869	46.21
chr7	67639080	67710092	cp068271_67639081	326	.	71012	41.43
chr7	67710092	67779055	cp068271_67710093	619	.	68963	51.68
chr7	67779055	68259925	cp068271_67779056	455	.	480870	45.94
chr7	68259925	68443211	cp068271_68259926	302	.	183286	40.59
chr7	68443211	68529209	cp068271_68443212	449	.	85998	45.75
chr7	68529209	68559403	cp068271_68529210	246	.	30194	38.62
chr7	68559403	68619305	cp068271_68559404	514	.	59902	48.01
chr7	68619305	68739944	cp068271_68619306	457	.	120639	46.01
chr7	68739944	69282012	cp068271_68739945	403	.	542068	44.12
chr7	69282012	69312617	cp068271_69282013	489	.	30605	47.14
chr7	69312617	69857076	cp068271_69312618	361	.	544459	42.66
chr7	69857076	69897793	cp068271_69857077	275	.	40717	39.64
chr7	69897793	70824402	cp068271_69897794	401	.	926609	44.05
chr7	70824402	71137536	cp068271_70824403	298	.	313134	40.45
chr7	71137536	71533023	cp068271_71137537	238	.	395487	38.36
chr7	71533023	71653709	cp068271_71533024	309	.	120686	40.84
chr7	71653709	73054011	cp068271_71653710	410	.	1400302	44.37
chr7	73054011	73525730	cp068271_73054012	369	.	471719	42.94
chr7	73525730	73562564	cp068271_73525731	475	.	36834	46.66
chr7	73562564	73606976	cp068271_73562565	252	.	44412	38.85
chr7	73606976	73809062	cp068271_73606977	425	.	202086	44.88
chr7	73809062	74005750	cp068271_73809063	301	.	196688	40.56
chr7	74005750	74082578	cp068271_74005751	423	.	76828	44.83
chr7	74082578	74495165	cp068271_74082579	510	.	412587	47.86
chr7	74495165	74647031	cp068271_74495166	614	.	151866	51.50
chr7	74647031	74721648	cp068271_74647032	352	.	74617	42.33
chr7	74721648	74792093	cp068271_74721649	543	.	70445	49.03
chr7	74792093	74945069	cp068271_74792094	674	.	152976	53.62
chr7	74945069	75021942	cp068271_74945070	506	.	76873	47.73
chr7	75021942	75123565	cp068271_75021943	663	.	101623	53.22
chr7	75123565	75167384	cp068271_75123566	302	.	43819	40.58
chr7	75167384	75302845	cp068271_75167385	690	.	135461	54.15
chr7	75302845	75333021	cp068271_75302846	623	.	30176	51.84
chr7	75333021	75406010	cp068271_75333022	485	.	72989	46.98
chr7	75406010	75817130	cp068271_75406011	626	.	411120	51.94
chr7	75817130	75870405	cp068271_75817131	526	.	53275	48.44
chr7	75870405	75962524	cp068271_75870406	338	.	92119	41.83
chr7	75962524	75996411	cp068271_75962525	663	.	33887	53.24
chr7	75996411	77234924	cp068271_75996412	518	.	1238513	48.15
chr7	77234924	77284028	cp068271_77234925	723	.	49104	55.31
chr7	77284028	77332768	cp068271_77284029	519	.	48740	48.19
chr7	77332768	77362774	cp068271_77332769	655	.	30006	52.95
chr7	77362774	77450914	cp068271_77362775	350	.	88140	42.26
chr7	77450914	77567829	cp068271_77450915	625	.	116915	51.89
chr7	77567829	77606265	cp068271_77567830	745	.	38436	56.10
chr7	77606265	77645692	cp068271_77606266	418	.	39427	44.64
chr7	77645692	77734702	cp068271_77645693	604	.	89010	51.17
chr7	77734702	77764752	cp068271_77734703	508	.	30050	47.78
chr7	77764752	77831135	cp068271_77764753	691	.	66383	54.22
chr7	77831135	77882125	cp068271_77831136	214	.	50990	37.52
chr7	77882125	77930201	cp068271_77882126	493	.	48076	47.27
chr7	77930201	78213490	cp068271_77930202	176	.	283289	36.19
chr7	78213490	78253278	cp068271_78213491	442	.	39788	45.49
chr7	78253278	78287539	cp068271_78253279	779	.	34261	57.27
chr7	78287539	78317825	cp068271_78287540	504	.	30286	47.65
chr7	78317825	78470842	cp068271_78317826	221	.	153017	37.77
chr7	78470842	79429045	cp068271_78470843	289	.	958203	40.14
chr7	79429045	79615392	cp068271_79429046	239	.	186347	38.39
chr7	79615392	80576050	cp068271_79615393	175	.	960658	36.16
chr7	80576050	81267207	cp068271_80576051	145	.	691157	35.10
chr7	81267207	82740976	cp068271_81267208	189	.	1473769	36.65
chr7	82740976	83631931	cp068271_82740977	136	.	890955	34.79
chr7	83631931	84001056	cp068271_83631932	218	.	369125	37.64
chr7	84001056	84270994	cp068271_84001057	91	.	269938	33.19
chr7	84270994	87683218	cp068271_84270995	133	.	3412224	34.68
chr7	87683218	87969505	cp068271_87683219	172	.	286287	36.03
chr7	87969505	88449089	cp068271_87969506	206	.	479584	37.21
chr7	88449089	88481237	cp068271_88449090	413	.	32148	44.48
chr7	88481237	88581752	cp068271_88481238	300	.	100515	40.50
chr7	88581752	88801443	cp068271_88581753	237	.	219691	38.31
chr7	88801443	89115397	cp068271_88801444	161	.	313954	35.65
chr7	89115397	89775483	cp068271_89115398	215	.	660086	37.56
chr7	89775483	89810650	cp068271_89775484	318	.	35167	41.14
chr7	89810650	90653963	cp068271_89810651	143	.	843313	35.03
chr7	90653963	91320779	cp068271_90653964	169	.	666816	35.95
chr7	91320779	92418660	cp068271_91320780	228	.	1097881	37.98
chr7	92418660	92515802	cp068271_92418661	321	.	97142	41.25
chr7	92515802	93197679	cp068271_92515803	251	.	681877	38.79
chr7	93197679	93643556	cp068271_93197680	203	.	445877	37.14
chr7	93643556	93727980	cp068271_93643557	388	.	84424	43.59
chr7	93727980	94418180	cp068271_93727981	245	.	690200	38.58
chr7	94418180	95125011	cp068271_94418181	165	.	706831	35.78
chr7	95125011	96507099	cp068271_95125012	197	.	1382088	36.92
chr7	96507099	96849838	cp068271_96507100	256	.	342739	38.99
chr7	96849838	97005589	cp068271_96849839	189	.	155751	36.65
chr7	97005589	99101601	cp068271_97005590	255	.	2096012	38.96
chr7	99101601	99139403	cp068271_99101602	381	.	37802	43.34
chr7	99139403	99320262	cp068271_99139404	484	.	180859	46.95
chr7	99320262	99432706	cp068271_99320263	362	.	112444	42.68
chr7	99432706	99476911	cp068271_99432707	772	.	44205	57.05
chr7	99476911	99532801	cp068271_99476912	640	.	55890	52.43
chr7	99532801	99982985	cp068271_99532802	484	.	450184	46.95
chr7	99982985	100113904	cp068271_99982986	590	.	130919	50.68
chr7	100113904	100148571	cp068271_100113905	358	.	34667	42.56
chr7	100148571	100289290	cp068271_100148572	482	.	140719	46.89
chr7	100289290	100326523	cp068271_100289291	339	.	37233	41.87
chr7	100326523	100375070	cp068271_100326524	261	.	48547	39.16
chr7	100375070	100436938	cp068271_100375071	458	.	61868	46.05
chr7	100436938	100555244	cp068271_100436939	557	.	118306	49.51
chr7	100555244	100602886	cp068271_100555245	426	.	47642	44.94
chr7	100602886	100712090	cp068271_100602887	659	.	109204	53.09
chr7	100712090	100801782	cp068271_100712091	483	.	89692	46.94
chr7	100801782	101205963	cp068271_100801783	351	.	404181	42.30
chr7	101205963	101255765	cp068271_101205964	547	.	49802	49.15
chr7	101255765	101288855	cp068271_101255766	429	.	33090	45.02
chr7	101288855	101319953	cp068271_101288856	519	.	31098	48.19
chr7	101319953	101624324	cp068271_101319954	588	.	304371	50.61
chr7	101624324	101666697	cp068271_101624325	408	.	42373	44.30
chr7	101666697	102137863	cp068271_101666698	667	.	471166	53.36
chr7	102137863	102184519	cp068271_102137864	466	.	46656	46.31
chr7	102184519	102296233	cp068271_102184520	624	.	111714	51.86
chr7	102296233	102346179	cp068271_102296234	716	.	49946	55.07
chr7	102346179	102407536	cp068271_102346180	503	.	61357	47.61
chr7	102407536	102476791	cp068271_102407537	602	.	69255	51.09
chr7	102476791	102569309	cp068271_102476792	731	.	92518	55.59
chr7	102569309	102814482	cp068271_102569310	540	.	245173	48.93
chr7	102814482	103070229	cp068271_102814483	613	.	255747	51.46
chr7	103070229	103473049	cp068271_103070230	502	.	402820	47.59
chr7	103473049	103583661	cp068271_103473050	589	.	110612	50.63
chr7	103583661	103642357	cp068271_103583662	768	.	58696	56.91
chr7	103642357	103741697	cp068271_103642358	455	.	99340	45.95
chr7	103741697	104006146	cp068271_103741698	694	.	264449	54.32
chr7	104006146	104094389	cp068271_104006147	203	.	88243	37.14
chr7	104094389	104452788	cp068271_104094390	280	.	358399	39.82
chr7	104452788	104488860	cp068271_104452789	394	.	36072	43.80
chr7	104488860	104588507	cp068271_104488861	165	.	99647	35.80
chr7	104588507	104695032	cp068271_104588508	274	.	106525	39.62
chr7	104695032	104781602	cp068271_104695033	335	.	86570	41.75
chr7	104781602	104898682	cp068271_104781603	246	.	117080	38.63
chr7	104898682	105243026	cp068271_104898683	194	.	344344	36.81
chr7	105243026	105453094	cp068271_105243027	252	.	210068	38.84
chr7	105453094	105512127	cp068271_105453095	133	.	59033	34.67
chr7	105512127	105956410	cp068271_105512128	253	.	444283	38.89
chr7	105956410	106155874	cp068271_105956411	305	.	199464	40.69
chr7	106155874	106240350	cp068271_106155875	370	.	84476	42.96
chr7	106240350	106292789	cp068271_106240351	445	.	52439	45.61
chr7	106292789	106330518	cp068271_106292790	323	.	37729	41.32
chr7	106330518	106432336	cp068271_106330519	202	.	101818	37.07
chr7	106432336	106473391	cp068271_106432337	383	.	41055	43.43
chr7	106473391	106655744	cp068271_106473392	276	.	182353	39.67
chr7	106655744	107353654	cp068271_106655745	412	.	697910	44.45
chr7	107353654	107391126	cp068271_107353655	538	.	37472	48.84
chr7	107391126	107427051	cp068271_107391127	216	.	35925	37.57
chr7	107427051	107538824	cp068271_107427052	363	.	111773	42.71
chr7	107538824	108105060	cp068271_107538825	275	.	566236	39.63
chr7	108105060	108361696	cp068271_108105061	336	.	256636	41.76
chr7	108361696	108563419	cp068271_108361697	249	.	201723	38.73
chr7	108563419	108820989	cp068271_108563420	169	.	257570	35.92
chr7	108820989	108936758	cp068271_108820990	233	.	115769	38.19
chr7	108936758	109217078	cp068271_108936759	298	.	280320	40.45
chr7	109217078	109256742	cp068271_109217079	170	.	39664	35.96
chr7	109256742	109325646	cp068271_109256743	396	.	68904	43.89
chr7	109325646	109465593	cp068271_109325647	310	.	139947	40.88
chr7	109465593	110087646	cp068271_109465594	257	.	622053	39.01
chr7	110087646	110322307	cp068271_110087647	209	.	234661	37.33
chr7	110322307	111628746	cp068271_110322308	150	.	1306439	35.25
chr7	111628746	112091263	cp068271_111628747	211	.	462517	37.40
chr7	112091263	112806157	cp068271_112091264	160	.	714894	35.63
chr7	112806157	114036692	cp068271_112806158	262	.	1230535	39.17
chr7	114036692	114873608	cp068271_114036693	187	.	836916	36.57
chr7	114873608	117476698	cp068271_114873609	157	.	2603090	35.51
chr7	117476698	117811569	cp068271_117476699	221	.	334871	37.76
chr7	117811569	118318901	cp068271_117811570	276	.	507332	39.66
chr7	118318901	118513473	cp068271_118318902	228	.	194572	37.99
chr7	118513473	118644042	cp068271_118513474	350	.	130569	42.26
chr7	118644042	118968240	cp068271_118644043	164	.	324198	35.77
chr7	118968240	119506829	cp068271_118968241	239	.	538589	38.37
chr7	119506829	121964803	cp068271_119506830	136	.	2457974	34.78
chr7	121964803	125064341	cp068271_121964804	196	.	3099538	36.87
chr7	125064341	125440471	cp068271_125064342	231	.	376130	38.09
chr7	125440471	126651922	cp068271_125440472	173	.	1211451	36.06
chr7	126651922	127586825	cp068271_126651923	132	.	934903	34.65
chr7	127586825	127919483	cp068271_127586826	165	.	332658	35.81
chr7	127919483	128336033	cp068271_127919484	204	.	416550	37.15
chr7	128336033	128824259	cp068271_128336034	255	.	488226	38.93
chr7	128824259	128885893	cp068271_128824260	326	.	61634	41.43
chr7	128885893	128932978	cp068271_128885894	544	.	47085	49.07
chr7	128932978	128964855	cp068271_128932979	363	.	31877	42.72
